,cohens_d,abs_cohens_d,p_value_welch,p_value_fdr_bh,significant_fdr_0.05
var_8,0.06515145,0.06515145,2.4480329384952197e-18,3.916852701592352e-18,True
var_178,-0.065474965,0.065474965,3.3805346844298953e-18,5.365928070523644e-18,True
var_142,-0.06287638,0.06287638,6.907823481457222e-17,1.0878462175523184e-16,True
var_20,-0.06097396,0.06097396,3.583444492658011e-16,5.599132019778142e-16,True
var_138,0.060971785,0.060971785,6.430793385681335e-16,9.970222303381915e-16,True
var_102,-0.06097479,0.06097479,9.30139826758054e-16,1.4309843488585445e-15,True
var_193,-0.05891219,0.05891219,7.021427080220401e-15,1.071973600033649e-14,True
var_77,-0.0580772,0.0580772,7.784328200904197e-15,1.1794436668036662e-14,True
var_15,0.057493698,0.057493698,2.5887775122759486e-14,3.8928985147006745e-14,True
var_55,0.057137847,0.057137847,3.175806093343035e-14,4.740009094541843e-14,True
var_134,0.057259414,0.057259414,4.3252415628536096e-14,6.407765278301644e-14,True
var_54,-0.05254612,0.05254612,2.0134479919091773e-12,2.9609529292782023e-12,True
var_57,-0.051452365,0.051452365,6.145476796193364e-12,8.971498972545056e-12,True
var_140,0.05089785,0.05089785,8.675268558912983e-12,1.2572852983931859e-11,True
var_159,0.050822724,0.050822724,1.2459809246477138e-11,1.7927783088456313e-11,True
var_97,0.05064159,0.05064159,1.7274418555200037e-11,2.467774079314291e-11,True
var_187,0.049474735,0.049474735,4.189765883855187e-11,5.942930331709485e-11,True
var_171,0.04947461,0.04947461,7.086194679207565e-11,9.980555886207838e-11,True
var_63,-0.048799664,0.048799664,9.540874674678351e-11,1.3343880663885806e-10,True
var_168,0.046951126,0.046951126,8.396620572280034e-10,1.1661973017055601e-09,True
var_64,-0.045921847,0.045921847,9.381421913307101e-10,1.2939892294216691e-09,True
var_62,0.046196993,0.046196993,1.0477101129893974e-09,1.4352193328621883e-09,True
var_50,-0.046238407,0.046238407,1.1579892718726806e-09,1.5754956079900416e-09,True
var_113,-0.04550885,0.04550885,1.4762854199212968e-09,1.9949802971909415e-09,True
var_181,0.0456176,0.0456176,1.703115314769465e-09,2.2860608251939128e-09,True
var_25,0.044334993,0.044334993,4.266602308101091e-09,5.688803077468122e-09,True
var_72,-0.043258652,0.043258652,9.43947177937107e-09,1.2502611628306053e-08,True
var_84,0.041122463,0.041122463,3.4891005933769534e-08,4.5909218333907284e-08,True
var_68,-0.0398151,0.0398151,1.568936783933284e-07,2.0508977567755348e-07,True
var_65,0.03730171,0.03730171,5.635378775333903e-07,7.318673734199874e-07,True
var_19,0.037557304,0.037557304,6.519112232453763e-07,8.411757719295178e-07,True
var_143,-0.03726134,0.03726134,8.331444384332467e-07,1.0681338954272394e-06,True
var_3,0.036772393,0.036772393,1.0387353910598207e-06,1.3232297975284339e-06,True
var_120,-0.036240693,0.036240693,1.1823976592926954e-06,1.496705897838855e-06,True
var_4,0.036305927,0.036305927,1.4997384068348996e-06,1.886463404823773e-06,True
var_152,-0.035832528,0.035832528,2.1028026980326784e-06,2.6285033725408478e-06,True
var_59,-0.034754988,0.034754988,3.3861958072409135e-06,4.206454418932812e-06,True
var_189,0.030641748,0.030641748,4.032294779625703e-05,4.9781417032416084e-05,True
var_101,-0.030393708,0.030393708,5.196192096312343e-05,6.375695823696126e-05,True
var_47,0.029880373,0.029880373,5.7130955317450306e-05,6.967189672859793e-05,True
var_42,-0.027826354,0.027826354,0.00020258148931081094,0.0002455533203767405,True
var_69,0.0275507,0.0275507,0.00029460780500846246,0.00035494916266079815,True
var_16,0.02699763,0.02699763,0.0003572685945204822,0.0004278665802640505,True
var_37,0.0255599,0.0255599,0.0006725101249841711,0.0008006072916478228,True
var_79,0.025248298,0.025248298,0.0007591440915529982,0.0008983953746189327,True
var_176,0.024844658,0.024844658,0.0009236073819147005,0.0010865969198996476,True
var_61,0.024636175,0.024636175,0.0009734741339642391,0.0011385662385546657,True
var_182,-0.02394024,0.02394024,0.0013158593511134195,0.0015300690129225808,True
var_153,-0.023626015,0.023626015,0.001627484040926035,0.001881484440376919,True
var_73,-0.02148849,0.02148849,0.0039696992996762085,0.004562872758248516,True
var_14,-0.021061609,0.021061609,0.004606543961863787,0.005264621670701471,True
var_60,0.020838322,0.020838322,0.0061479808801277805,0.0069863419092361136,True
var_129,-0.019557005,0.019557005,0.008891499148723406,0.010046891693472774,True
var_46,0.018926648,0.018926648,0.011819079139187953,0.01327986420133478,True
var_183,-0.018184494,0.018184494,0.015179717394410958,0.016960578094313918,True
var_160,-0.017079657,0.017079657,0.022148697634176966,0.024609664037974408,True
var_29,0.015572604,0.015572604,0.03739524644010542,0.04132071429845902,True
var_124,0.01402946,0.01402946,0.060521155751724474,0.06650676456233458,False
var_161,0.01386072,0.01386072,0.06349822960742006,0.06939697224854652,False
var_39,-0.01360515,0.01360515,0.06841910136120928,0.07436858843609705,False
var_98,-0.013549759,0.013549759,0.07113991639843473,0.07690801772803754,False
var_158,-0.012694789,0.012694789,0.08827218194237413,0.09491632466921948,False
var_136,-0.011821775,0.011821775,0.1138791668932652,0.1217959004206045,False
var_7,-0.010061649,0.010061649,0.17648729116879416,0.18705169767408292,False
var_96,0.01010223,0.01010223,0.17676385430200833,0.18705169767408292,False
var_117,0.008618579,0.008618579,0.2506804419738671,0.2638741494461759,False
var_10,-0.007361494,0.007361494,0.3233975496630297,0.33687244756565593,False
var_100,0.0073683797,0.0073683797,0.32184339218502184,0.33687244756565593,False
var_103,-0.004640932,0.004640932,0.5321032618426316,0.5514023438783747,False
var_126,0.0046291607,0.0046291607,0.5363163567033671,0.5529034605189351,False
var_41,-0.0043158755,0.0043158755,0.5648126522499877,0.5792950279487052,False
var_38,0.0032252644,0.0032252644,0.6657574175921982,0.6793443036655084,False
var_17,0.0028729031,0.0028729031,0.6979621557475679,0.7085910210635207,False
var_30,0.0021218527,0.0021218527,0.7748994803355245,0.7827267478136611,False
var_27,-0.0019354756,0.0019354756,0.7957370704306064,0.7997357491764888,False
var_185,0.00017670059,0.00017670059,0.9810323483371501,0.9810323483371503,False
